population,raw_cosine,calibrated
whole corpus,0.3315187,0.0
whole corpus,0.41439956,0.0
whole corpus,0.28670502,0.0
whole corpus,0.2918996,0.0
whole corpus,0.28017926,0.0
whole corpus,0.2366213,0.0
whole corpus,0.22368295,0.0
whole corpus,0.29750794,0.0
whole corpus,0.21313125,0.0
whole corpus,0.41716722,0.0
whole corpus,0.20383637,0.0
whole corpus,0.2587862,0.0
whole corpus,0.33252126,0.0
whole corpus,0.12681699,0.0
whole corpus,0.2749923,0.0
whole corpus,0.2789043,0.0
whole corpus,0.41046578,0.0
whole corpus,0.17598762,0.0
whole corpus,0.2297041,0.0
whole corpus,0.29104185,0.0
whole corpus,0.23939672,0.0
whole corpus,0.42893285,0.0
whole corpus,0.22807589,0.0
whole corpus,0.47372252,0.0
whole corpus,0.45830163,0.0
whole corpus,0.22625524,0.0
whole corpus,0.339979,0.0
whole corpus,0.3772685,0.0
whole corpus,0.27861214,0.0
whole corpus,0.19851103,0.0
whole corpus,0.34320584,0.0
whole corpus,0.3666109,0.0
whole corpus,0.23743522,0.0
whole corpus,0.26033393,0.0
whole corpus,0.28036785,0.0
whole corpus,0.32874006,0.0
whole corpus,0.2380928,0.0
whole corpus,0.5429288,0.0
whole corpus,0.24833833,0.0
whole corpus,0.2582028,0.0
whole corpus,0.109759495,0.0
whole corpus,0.3311432,0.0
whole corpus,0.3555913,0.0
whole corpus,0.2851557,0.0
whole corpus,0.11034772,0.0
whole corpus,0.5428872,0.0
whole corpus,0.2369405,0.0
whole corpus,0.3091128,0.0
whole corpus,0.2658028,0.0
whole corpus,0.38570464,0.0
whole corpus,0.42781025,0.0
whole corpus,0.21188322,0.0
whole corpus,0.22927341,0.0
whole corpus,0.37099302,0.0
whole corpus,0.25580478,0.0
whole corpus,0.28162342,0.0
whole corpus,0.34968215,0.0
whole corpus,0.28273326,0.0
whole corpus,0.42020223,0.0
whole corpus,0.2514583,0.0
whole corpus,0.29923123,0.0
whole corpus,0.29544246,0.0
whole corpus,0.27999085,0.0
whole corpus,0.18314354,0.0
whole corpus,0.4129115,0.0
whole corpus,0.2792492,0.0
whole corpus,0.19717997,0.0
whole corpus,0.25227773,0.0
whole corpus,0.29547048,0.0
whole corpus,0.2569127,0.0
whole corpus,0.48152536,0.0
whole corpus,0.2586963,0.0
whole corpus,0.2782173,0.0
whole corpus,0.2459858,0.0
whole corpus,0.1255812,0.0
whole corpus,0.17815094,0.0
whole corpus,0.22577184,0.0
whole corpus,0.20800412,0.0
whole corpus,0.23420891,0.0
whole corpus,0.17508292,0.0
whole corpus,0.20725083,0.0
whole corpus,0.27476093,0.0
whole corpus,0.3178513,0.0
whole corpus,0.08247091,0.0
whole corpus,0.3713911,0.0
whole corpus,0.2624325,0.0
whole corpus,0.4076093,0.0
whole corpus,0.17428195,0.0
whole corpus,0.34848982,0.0
whole corpus,0.39342645,0.0
whole corpus,0.5163789,0.0
whole corpus,0.2412521,0.0
whole corpus,0.3403105,0.0
whole corpus,0.30382413,0.0
whole corpus,0.2759687,0.0
whole corpus,0.2699457,0.0
whole corpus,0.295806,0.0
whole corpus,0.28126884,0.0
whole corpus,0.2797127,0.0
whole corpus,0.23223859,0.0
whole corpus,0.48512217,0.0
whole corpus,0.3885883,0.0
whole corpus,0.30859947,0.0
whole corpus,0.32628626,0.0
whole corpus,0.3650337,0.0
whole corpus,0.30403712,0.0
whole corpus,0.08287277,0.0
whole corpus,0.31919762,0.0
whole corpus,0.3913606,0.0
whole corpus,0.31366685,0.0
whole corpus,0.39165062,0.0
whole corpus,0.34174317,0.0
whole corpus,0.29001662,0.0
whole corpus,0.32870814,0.0
whole corpus,0.47414634,0.0
whole corpus,0.23684502,0.0
whole corpus,0.14596303,0.0
whole corpus,0.36911944,0.0
whole corpus,0.23904559,0.0
whole corpus,0.29381427,0.0
whole corpus,0.31291124,0.0
whole corpus,0.36784035,0.0
whole corpus,0.30210942,0.0
whole corpus,0.3401187,0.0
whole corpus,0.13764846,0.0
whole corpus,0.2453326,0.0
whole corpus,0.3077982,0.0
whole corpus,0.35330135,0.0
whole corpus,0.3464667,0.0
whole corpus,0.28853047,0.0
whole corpus,0.3049206,0.0
whole corpus,0.33655047,0.0
whole corpus,0.35574126,0.0
whole corpus,0.38220802,0.0
whole corpus,0.59183717,0.35605469849257926
whole corpus,0.42217317,0.0
whole corpus,0.13013983,0.0
whole corpus,0.31085926,0.0
whole corpus,0.4220705,0.0
whole corpus,0.1728459,0.0
whole corpus,0.33851463,0.0
whole corpus,0.10479839,0.0
whole corpus,0.2042888,0.0
whole corpus,0.3244681,0.0
whole corpus,0.20934713,0.0
whole corpus,0.32808322,0.0
whole corpus,0.47039604,0.0
whole corpus,0.33272368,0.0
whole corpus,0.26391897,0.0
whole corpus,0.31094462,0.0
whole corpus,0.40197262,0.0
whole corpus,0.28916287,0.0
whole corpus,0.56880176,0.06172037713969677
whole corpus,0.39633688,0.0
whole corpus,0.38600212,0.0
whole corpus,0.21633823,0.0
whole corpus,0.30762255,0.0
whole corpus,0.21858814,0.0
whole corpus,0.116133094,0.0
whole corpus,0.2595792,0.0
whole corpus,0.304267,0.0
whole corpus,0.4209048,0.0
whole corpus,0.16070212,0.0
whole corpus,0.28430358,0.0
whole corpus,0.30262426,0.0
whole corpus,0.30246806,0.0
whole corpus,0.15337452,0.0
whole corpus,0.18731755,0.0
whole corpus,0.38562799,0.0
whole corpus,0.2781812,0.0
whole corpus,0.13927123,0.0
whole corpus,0.1609268,0.0
whole corpus,0.5506258,0.0
whole corpus,0.28464746,0.0
whole corpus,0.22461791,0.0
whole corpus,0.270622,0.0
whole corpus,0.18081781,0.0
whole corpus,0.27538943,0.0
whole corpus,0.4051562,0.0
whole corpus,0.33434677,0.0
whole corpus,0.53652906,0.0
whole corpus,0.42629665,0.0
whole corpus,0.43023807,0.0
whole corpus,0.32269114,0.0
whole corpus,0.30552167,0.0
whole corpus,0.37453625,0.0
whole corpus,0.30223122,0.0
whole corpus,0.17996556,0.0
whole corpus,0.45660535,0.0
whole corpus,0.27078313,0.0
whole corpus,0.23656815,0.0
whole corpus,0.34732214,0.0
whole corpus,0.30665106,0.0
whole corpus,0.21647415,0.0
whole corpus,0.24250323,0.0
whole corpus,0.46501797,0.0
whole corpus,0.2304194,0.0
whole corpus,0.3119424,0.0
whole corpus,0.3201302,0.0
whole corpus,0.23598021,0.0
whole corpus,0.09608701,0.0
whole corpus,0.23579985,0.0
whole corpus,0.14403585,0.0
whole corpus,0.17430985,0.0
whole corpus,0.5619244,0.0
whole corpus,0.26940587,0.0
whole corpus,0.29953188,0.0
whole corpus,0.4135494,0.0
whole corpus,0.34226224,0.0
whole corpus,0.33203623,0.0
whole corpus,0.12989315,0.0
whole corpus,0.22884774,0.0
whole corpus,0.4058802,0.0
whole corpus,0.24420524,0.0
whole corpus,0.24737066,0.0
whole corpus,0.056989,0.0
whole corpus,0.32232824,0.0
whole corpus,0.2654699,0.0
whole corpus,0.36336595,0.0
whole corpus,0.32443655,0.0
whole corpus,0.4211201,0.0
whole corpus,0.37285158,0.0
whole corpus,0.30455032,0.0
whole corpus,0.31893942,0.0
whole corpus,0.23961966,0.0
whole corpus,0.55296993,0.0
whole corpus,0.30088356,0.0
whole corpus,0.39450568,0.0
whole corpus,0.21257678,0.0
whole corpus,0.41051582,0.0
whole corpus,0.35271308,0.0
whole corpus,0.28673142,0.0
whole corpus,0.46118477,0.0
whole corpus,0.26179218,0.0
whole corpus,0.15031755,0.0
whole corpus,0.30485803,0.0
whole corpus,0.20318286,0.0
whole corpus,0.23808903,0.0
whole corpus,0.20504028,0.0
whole corpus,0.25792092,0.0
whole corpus,0.16613013,0.0
