position,job_id,title,bm25,dense,hybrid,relevant_proxy,relevant_manual
751,3884930756,Data Engineer,,10.0,,True,
1714,3887596617,Data Engineering Analyst,,1.0,3.0,True,
2463,3889105045,Business Intelligence Specialist,1.0,,4.0,True,
4538,3894993415,Sr. AWS Data Engineer - Hybrid ,2.0,,5.0,True,
6314,3900072860,Data Engineer,,2.0,6.0,True,
7040,3901166618,Data Scientist,,3.0,2.0,True,
7061,3901170140,Lead Data Engineer with Strong Scala (10 Years Minimum),4.0,,8.0,True,
8407,3901675598,Data Analyst,7.0,,,True,
9643,3901981845,Senior Data Engineer,10.0,,,True,
11918,3902941891,Data Engineer,,4.0,9.0,True,
13200,3903867896,"Data Engineer - Enterprise Data and Analytics, Human Resources Stream",,7.0,,True,
13206,3903870866,Data Engineer II,,5.0,10.0,True,
13245,3903875177,Advanced Data Scientist (Sr Business Dvlpmnt Analyst (Data Science Engagement Leader)),3.0,,7.0,True,
13280,3903878662,Data Engineer- AWS (Python/ Airflow/ RDS),,8.0,,True,
13290,3903879654,Data Engineer- AWS (Python/ Airflow/ RDS),,6.0,,True,
13513,3904089066,"Business Intelligence Engineer, CE&I Analytics and Products",,9.0,1.0,True,
14844,3904716772,Data Scientist,5.0,,,True,
15340,3904948737,"Senior Software Engineer, Machine Learning",8.0,,,True,
17844,3905858580,Senior Machine Learning Engineer,6.0,,,True,
18034,3905875652,Data Scientist,9.0,,,True,
