position,job_id,title,bm25,dense,hybrid,relevant_proxy,relevant_manual
316,3884438674,SOC Security Analyst/Engineer,4.0,9.0,4.0,True,
554,3884833403,Sr. Cyber Security Analyst - Threat Hunter,3.0,,2.0,True,
555,3884834350,Cyber Security Analyst II,1.0,,8.0,True,
2412,3888961946,Security Architect - SOC and Incident Response,,2.0,,True,
3786,3893261358,Senior Security Analyst,9.0,,,True,
5396,3898165112,Senior Security Analyst,5.0,,6.0,True,
6069,3899531754,Network Security Engineer,,10.0,,True,
6882,3900964370,Security Operations Center Analyst (Part-time),,,10.0,True,
7203,3901345936,Information Technology Security Analyst,,6.0,,True,
10185,3902354886,Remote Cyber Security Specialist II ,,3.0,,True,
10376,3902362285,Cyber Threat Analyst II,2.0,4.0,1.0,True,
14807,3904710272,Splunk / Python Engineer,,7.0,,False,
14865,3904718545,Sr. SOC Analyst,10.0,5.0,5.0,True,
14866,3904718547,SOC Analyst,,1.0,3.0,True,
14925,3904723654,Cybersecurity Analyst,7.0,,,True,
15327,3904947721,Cybersecurity Firewall Engineer,,,9.0,True,
16055,3905223122,Cyber Fusion Analyst,,,7.0,True,
16173,3905242184,Threat Modeling Analyst/ Engineer,,8.0,,True,
17136,3905353453,Senior Application Security Engineer,6.0,,,True,
17966,3905872728,Digital Forensics & E-Discovery Specialist - Senior with Security Clearance,8.0,,,True,
