position,job_id,title,bm25,dense,hybrid,relevant_proxy,relevant_manual
245,3884436034,Lead Java Fullstack Developer,,1.0,6.0,True,
3124,3891015177,Kotlin Backend Engineer (Java),2.0,,7.0,True,
3822,3894208912,Java full stack Developer - Only W2,8.0,,2.0,True,
4013,3894299522,Golang Developer,,4.0,,True,
5242,3898160235,Sr. Cloud Data Pipeline Engineer,,7.0,,False,
6621,3900950608,AWS/Azure Senior Developer with Kubernetes,,10.0,,True,
6688,3900956076,Senior Backend Engineer,9.0,,,True,
6754,3900959938,Senior Staff Software Engineer - Python,3.0,,8.0,True,
7050,3901168215,Sr. Java Developer,4.0,,1.0,True,
7207,3901346380,Platform Engineer,,2.0,9.0,True,
7873,3901389236,Senior Software Engineer,5.0,,,True,
7941,3901391056,Software Back End Engineer,10.0,,,True,
8194,3901622102,Lead ServiceNow Consultant,,5.0,,False,
9773,3901996349,Back End Developer,,6.0,,True,
9800,3902300273,Senior Developer,6.0,,4.0,True,
11334,3902833714,Backend Platform Engineer,1.0,,5.0,True,
11530,3902850403,Lead API Developer,,8.0,,True,
11681,3902869157,Staff Software Engineer - Python,7.0,,,True,
14952,3904725232,Backend Software Engineer - Infrastructure,,3.0,10.0,True,
16031,3905216662,Senior Software Engineer - Backend,,9.0,,True,
16036,3905217730,Software Engineer,,,3.0,True,
